상품코드,거래처,엑셀원본폴더,원본상품번호,상품명,이미지수,상태,매칭폴더/메모
N260044,써니,S471,S471,가슴부분 장식과 하얀 포인트를 주는 핑크 배색 미디 드레스,4,매칭완료,써니/S471
N260045,예스,S468 투피스,S468,베이지 도트 카라 투피스,4,매칭완료,예스/S468 투피스
N260046,예스,S469 투피스,S469,핑크 도트 카라 투피스,4,매칭완료,예스/S469 투피스
N260047,임마누엘,S466,S466,화이트 시스루 롱 드레스,4,매칭완료,임마누엘/S466
N260048,임마누엘,S467,S467,블랙 A라인 롱 드레스,4,매칭완료,임마누엘/S467
N260049,지나,S390,S390,화이트 H라인 미디드레스,4,매칭완료,지나/S390
N260050,지나,S391,S391,블랙 H라인 미디드레스,4,매칭완료,지나/S391
N260051,지나,S392,S392,화이트 H라인 미디드레스,4,매칭완료,지나/S392
N260052,지나,S393,S393,소라 화이트 H라인 미디드레스,4,매칭완료,지나/S393
N260053,지나,S394,S394,레드꽃무늬 H라인 미디드레스,4,매칭완료,지나/S394
N260054,지나,S395,S395,블루꽃무늬 H라인 미디드레스,4,매칭완료,지나/S395
N260055,지나,S475,S475,화이트 미니탑 드레스,4,매칭완료,지나/S475
N260056,지나,S476,S476,블랙 미니탑 드레스,4,매칭완료,지나/S476
N260057,지나,S477,S477,민트 끈나시 주름치마드레스,4,매칭완료,지나/S477
N260058,지나,S478,S478,블랙 끈나시 주름치마드레스,4,매칭완료,지나/S478
N260059,지나,S514,S514,화이트 어깨꽃 H라인미니드레스,4,매칭완료,지나/S514
N260060,지나,S515,S515,블랙 어깨꽃 H라인미니드레스,4,매칭완료,지나/S515
N260061,지나,S516,S516,화이트 S516,4,매칭완료,지나/S516
N260062,지나,S517,S517,핑크 S517,4,매칭완료,지나/S517
N260063,지나,S518,S518,화이트 도트 미니 A라인원피스,4,매칭완료,지나/S518
N260064,지나,S519,S519,블랙 도트 미니 A라인원피스,4,매칭완료,지나/S519
N260065,지니,6369(브라운),6369(브라운),브라운 V버클 플리츠 미니원피스,4,매칭완료,지니/6369(브라운)
N260066,지니,골지 미니 원피스 핑크,골지_미니_원피스_핑크,핑크/화이트/블랙 진주 버튼 스퀘어넥 미니 원피스,4,매칭완료,지니/골지 미니 원피스 핑크
N260067,지니,리본끈A라인원피스(coco),리본끈A라인원피스(coco),연보라 도트리본 타이 A라인 미니드레스,4,매칭완료,지니/리본끈A라인원피스(coco)
N260068,지니,리본끈A라인원피스(노랑),리본끈A라인원피스(노랑),엘로우 도트리본 타이 A라인 미니드레스,4,매칭완료,지니/리본끈A라인원피스(노랑)
N260069,지니,리본끈A라인원피스(연보라),리본끈A라인원피스(연보라),연보라 도트리본 타이 A라인 미니드레스,4,매칭완료,지니/리본끈A라인원피스(연보라)
N260070,지니,6368(베이지),6368(베이지),베이지 V버클 플리츠 미니원피스,4,매칭완료,지니/6368(베이지)
N260071,지니,6370(핑크),6370(핑크),핑크 V버클 플리츠 미니원피스,4,매칭완료,지니/6370(핑크)
N260072,지니,사각쭈글원피스(핑크),사각쭈글원피스(핑크),핑크 진주 버튼 스퀘어넥 미니 원피스,4,매칭완료,지니/사각쭈글원피스(핑크)
N260073,지니,사각쭈글원피스(화이트),사각쭈글원피스(화이트),화이트 진주 버튼 스퀘어넥 미니 원피스,4,매칭완료,지니/사각쭈글원피스(화이트)
N260074,지니,사각쭈글원피스(검정),사각쭈글원피스(검정),블랙 진주 버튼 스퀘어넥 미니 원피스,4,매칭완료,지니/사각쭈글원피스(검정)
N260075,지니,사각쭈글투피스(소라),사각쭈글투피스(소라),소라 플레어크롭투피스,4,매칭완료,지니/사각쭈글투피스(소라)
N260076,지니,사각쭈글투피스(핑크),사각쭈글투피스(핑크),핑크 플레어크롭투피스,4,매칭완료,지니/사각쭈글투피스(핑크)
N260077,지니,사각쭈글투피스(화이트),사각쭈글투피스(화이트),화이트 플레어크롭투피스,4,매칭완료,지니/사각쭈글투피스(화이트)
N260078,지니,JN6316(소라),N6316,"소라 입체적이 셔링 디테일, 가슴 라인의 핀컥으로 핏을 살려주는 미디 원피스",4,매칭완료,지니/JN6316(소라)
N260079,지니,JN6373(민트),N6373,민트 셔링 크롭탑과 플레어 미니스커트의 조화,4,매칭완료,지니/JN6373(민트)
N260080,지니,시스룩긴팔원피스(검정),시스룩긴팔원피스(검정),블랙 시스루 레이스 원피스,4,매칭완료,지니/시스룩긴팔원피스(검정)
N260081,지니,시스룩긴팔원피스(화이트),시스룩긴팔원피스(화이트),화이트 시스루 레이스 원피스,4,매칭완료,지니/시스룩긴팔원피스(화이트)
N260082,지니,실루엣 롱 원피스(검정),실루엣_롱_원피스(검정),블랙 코르셋 롱 슬립 원피스,4,매칭완료,지니/실루엣 롱 원피스(검정)
N260083,지니,실루엣 롱 원피스(아이),실루엣_롱_원피스(아이),아이보리 코르셋 롱 슬립 원피스,4,매칭완료,지니/실루엣 롱 원피스(아이)
